IncidentNumber,CaseNumber,DateOccurred - Dt,DateOccurred - Txt,IncidentType,IncidentCode,AssociatedOfficerNumber,BadgeNum ber,OfficerTitle,OfficerRace,OfficerGender,OfficerOnDuty,FullAddress,CitizenNumber,CitizenRace,CitizenGenger,CitizenFatality,City,Precinct,CitizenGender,UseOfForceType
11610,140580993,2/27/2014,2014-02-27,Use Of Force,UOF,867,P3087,Cell Blockattendant,White,Male,,,5742,Black,Female,No,Buffalo,,Female,Verbal
11610,140580993,2/27/2014,2014-02-27,Use Of Force,UOF,867,P3087,Cell Blockattendant,White,Male,,,5742,Black,Female,No,Buffalo,,Female,Physical
11611,140580993,2/27/2014,2014-02-27,Use Offorce,UOF,1303,P3430,Officer,White,Male,,,5742,Black,Female,No,Buffalo,B,Female,Physical Engagement
11611,140580993,2/27/2014,2014-02-27,Use Offorce,UOF,1303,P3430,Officer,White,Male,,,5742,Black,Female,No,Buffalo,B,Female,Verbal Commands
11611,140580993,2/27/2014,2014-02-27,Use Offorce,UOF,1333,DS563,Officer,White,Male,,,5742,Black,Female,No,Buffalo,B,Female,Physical Engagement
11611,140580993,2/27/2014,2014-02-27,Use Offorce,UOF,1333,DS563,Officer,White,Male,,,5742,Black,Female,No,Buffalo,B,Female,Verbal Commands
11611,140580993,2/27/2014,2014-02-27,Use Of Force,UOF,867,P3087,Cell Block Attendant,White,Male,,,5742,Black,Female,No,Buffalo,B,Female,PhysicalEngagement
11611,140580993,2/27/2014,2014-02-27,Use Of Force,UOF,867,P3087,Cell Blockattendant,White,Male,,,5742,Black,Female,No,Buffalo,B,Female,Verbal
12143,140540677,2/23/2014,2014-02-23,External,GEN,284,L472,Policeoﬃcer,Black,Female,No,,5731,Black,Female,No,Buﬀalo,,Female,
12143,140540677,2/23/2014,2014-02-23,External,GEN,365,L463,,,,,,5731,Black,Female,No,Buﬀalo,,Female,
12143,140540677,2/23/2014,2014-02-23,External,GEN,1445,3527,,,,,,5731,Black,Female,No,Buﬀalo,,Female,
12143,140540677,2/23/2014,2014-02-23,External,GEN,1300,C155,,,,,,5731,Black,Female,No,Buﬀalo,,Female,
12143,140540677,2/23/2014,2014-02-23,External,GEN,284,L472,Policeoﬃcer,Black,Female,No,,5971,Black,Female,No,Buﬀalo,,Female,
12143,140540677,2/23/2014,2014-02-23,External,GEN,1445,3527,,,,,,5971,Black,Female,No,Buﬀalo,,Female,
12143,140540677,2/23/2014,2014-02-23,External,GEN,1300,C155,,,,,,5971,Black,Female,No,Buﬀalo,,Female,
12143,140540677,2/23/2014,2014-02-23,External,GEN,365,L463,,,,,,5971,Black,Female,No,Buﬀalo,,Female,
11619,14-061-0234,3/2/2014,2014-03-02,Use Of Force,UOF,1416,,Cellblock,White,Male,,,5745,Black,Male,No,Buffalo,B,Male,Verbal
11619,14-061-0234,3/2/2014,2014-03-02,Use Of Force,UOF,1416,,Cellblock,White,Male,,,5745,Black,Male,No,Buﬀalo,B,Male,Cap Spray
11619,14-061-0234,3/2/2014,2014-03-02,Use Of Force,UOF,1406,,Cellblock,White,Male,,,5745,Black,Male,No,Buﬀalo,B,Male,
